Вау... Очень понравилось это место.;1
Корочка нехорошая.;0
Не вкусно, и текстура была просто противной.;0
Заглянул во время банковских каникул в конце мая по рекомендации Рика Стива, и ему понравилось.;1
Выбор в меню был отличным, как и цены.;1
Теперь я начинаю злиться и хочу свою чертову фо.;0
Честно говоря, на вкус это было не ТАК свежо.);0
Картофель был как резиновый, и можно было сказать, что он был приготовлен заранее и хранился под грелкой.;0
Картошка фри тоже была великолепна.;1
Отличный штрих.;1
Обслуживание было очень оперативным.;1
Не хотел возвращаться.;0
Кассиру было все равно, что и когда я должен был сказать, все равно это оказалось слишком завышенной ценой.;0
Я попробовал раволи из Кейп-Кода, курицу,с клюквой...мммм!;1
Мне было противно, потому что я был почти уверен, что это человеческие волосы.;0
Я был шокирован, потому что никакие знаки не указывают только на наличные деньги.;0
Настоятельно рекомендуется.;1
Официантка была немного медленной в обслуживании.;0
Это место не стоит вашего времени, не говоря уже о Вегасе.;0
совсем не понравилось.;0
Бурритто Бла-бла!;0
Еда потрясающая.;1
Обслуживание тоже милое.;1
Мне было бы все равно... Интерьер просто красивый.;1
Так они и поступили.;1
Правильно....торт из красного бархата.....оооо, эта штука такая вкусная.;1
- Они так и не принесли салат, который мы просили.;0
В этой дыре в стене есть отличные мексиканские уличные тако и дружелюбный персонал.;1
Потребовался час, чтобы приготовить нам еду только за 4 столиками в ресторане, моя еда была теплой, Наш север бегал вокруг, как будто он был полностью подавлен.;0
Хуже всего было сашими из лосося.;0
Также есть комбо, такие как гамбургер, картофель фри и пиво за 23 доллара, что является приличной сделкой.;1
Это было похоже на последний удар!;0
Я нашел это место случайно и не мог быть счастливее.;1
кажется, это хорошее быстрое место, чтобы перекусить какой-нибудь знакомой едой в пабе, но сделайте себе одолжение и поищите в другом месте.;0
В целом, мне очень нравится это место.;1
Единственным достоинством ресторана было то, что он был очень недорогим.;1
Обильные порции и хорошие цены.;1
Плохое обслуживание, официант заставлял меня чувствовать себя глупо каждый раз, когда он подходил к столу.;0
Мой первый визит в Хиро был в восторге!;1
Обслуживание отстой.;0
Креветки нежные и влажные.;1
Нет достаточно хорошей сделки, которая снова затащила бы меня в это заведение.;0
Трудно судить, были ли эти стороны хорошими, потому что мы были возмущены расплавленным пенопластом и не хотели его есть, опасаясь заболеть.;0
С положительной стороны, наш сервер был очень внимателен и предоставил отличное обслуживание.;1
Замороженные шайбы отвращения, с некоторыми из худших людей за кассой.;0
Единственное, что мне понравилось, - это раздел с ребрышками и десертом.;1
Очень жаль, что еда такая чертовски универсальная.;0
Бургер-это хорошая говядина, приготовленная в самый раз.;1
Если вы хотите бутерброд, просто идите в любую пожарную часть!!!!!;1
Мой боковой греческий салат с греческой заправкой был таким вкусным, а лаваш и хумус были очень освежающими.;1
Мы заказали редкую утку, и она была розовой и нежной внутри с приятным обугливанием снаружи.;1
Он прибежал за нами, когда понял, что мой муж оставил свои солнцезащитные очки на столе.;1
Их чау-мейн так хорош!;1
У них ужасное отношение к клиентам, и они разговаривают свысока с каждым из них, когда клиентам не нравится их еда.;0
Порция была огромной!;1
Очень понравилось...дружелюбные официанты, отличная еда, замечательное и оригинальное меню.;1
"Гриль-бар ""Сердечный приступ"" в центре Вегаса-абсолютно плоское оправдание для ресторана.";0
Не так много морепродуктов и, как 5 нитей пасты на дне.;0
В салате было как раз нужное количество соуса, чтобы не перегружать гребешок, который был идеально приготовлен.;1
Разорванный банан был не только разорван, но и окаменел и стал безвкусным.;0
По крайней мере, подумай о том, чтобы наполнить мою воду, прежде чем я буду изо всех сил махать тебе в течение 10 минут.;0
Это место получает звезды за свои ЗАКУСКИ!!!;1
Все коктейли сделаны вручную и очень вкусные.;1
Мы бы обязательно вернулись сюда снова.;1
Мы так рады, что нашли это место.;1
Отличная еда и обслуживание, огромные порции, и они дают военную скидку.;1
Всегда приятно провести время в Dos Gringos!;1
Обновление.....вернулся во второй раз, и это все еще было так же удивительно;1
Мы получили еду, и, по-видимому, они никогда не слышали о соли, а тесто на рыбе было жевательным.;0
Отличный способ закончить великое.;1
Сделка включала 5 дегустаций и 2 напитка, и Джефф вышел за рамки того, что мы ожидали.;1
- Действительно, действительно хороший рис, все время.;1
Услуга была мех.;0
Потребовалось более 30 минут, чтобы получить их молочный коктейль, который был не более чем шоколадным молоком.;0
Наверное, я должен был догадаться, что это место будет отстойным, потому что оно находится внутри Экскалибура, но я не использовал свой здравый смысл.;0
Блюдо из морского гребешка также довольно ужасно по стоимости.;0
2 раза - Очень Плохое Обслуживание Клиентов !;0
Картофель фри из сладкого картофеля был очень хорошим и хорошо приправленным.;1
"Сегодня я второй раз был у них на обеде ""шведский стол"", и это было довольно вкусно.";1
В Вегасе так много хорошей еды, что я чувствую себя обманутым за то, что упустил возможность поесть, отправившись в Райс и компанию.;0
Прийти сюда-все равно что пережить неутешительные отношения, в которых обе стороны не могут дождаться, когда другой человек попросит расстаться.;0
вошел, и место пахло как старая ловушка для жира, и только 2 других там ели.;0
Индейка и ростбиф были пресными.;0
В этом месте все есть!;1
Пироги на сковороде все бредят вкусом, как сладкая катастрофа, адаптированная к вкусу шестилетнего ребенка.;0
Я люблю Фо и спринг-роллы, о, такие вкусные, что вы должны попробовать.;1
Плохое соотношение теста и мяса сделало куриные тендеры очень неудовлетворительными.;0
Все, что я должен сказать, это то, что еда была потрясающей!!!;1
За омлеты можно умереть!;1
Все было свежим и вкусным!;1
В целом, это был в значительной степени разочаровывающий ужин.;0
Это похоже на действительно сексуальную вечеринку во рту, где ты возмутительно флиртуешь с самым горячим человеком на вечеринке.;1
Никогда раньше не был в казино Hard Rock, НИКОГДА БОЛЬШЕ НЕ СДЕЛАЮ В НЕМ НИ ШАГУ ВПЕРЕД!;0
"Лучший завтрак ""шведский стол""!!!";1
попрощайся со своей чаевой!;0
Мы больше никогда туда не пойдем.;0
Вернется снова!;1
Еда прибыла быстро!;1
Это было нехорошо.;0
С другой стороны, в их кафе подают действительно хорошую еду.;1
Наш официант был фантастическим, и когда он узнал, что жена любит жареный чеснок и костный мозг, он добавил еще к нашей еде и еще один костный мозг!;1
Единственной хорошей вещью был наш официант, он был очень предупредителен и не давал угрюмой Мэри прийти.;1
